============================================================
  PREDIKPEDIA -- R-ASISTENCIA LIMPIA / FILTRADO DE INDECISOS
============================================================
[OK] Archivo cargado: 1000 agentes totales
     Columnas: ['ID', 'Region', 'MBTI', 'Veredicto', 'Confianza', 'Volátil', 'R1', 'R2', 'R3']

-- Distribucion original de Veredictos --
  Indeciso                                 829
  Keiko Fujimori                           149
  Rafael López Aliaga                      17
  Voto en Blanco / Nulo                    2
  OTRO CANDIDATO                           2
  Jorge Nieto                              1

[PASO 1] Indecisos identificados: 829
[INFO] Agentes ya decididos (no Indecisos): 171
  [0070/829] PREDIK-PE-0470 (Lima) -> ACTIVO: Indeciso Activo
  [0071/829] PREDIK-PE-0986 (Lima) -> ACTIVO: Indeciso Activo
  [0072/829] PREDIK-PE-0518 (Lima) -> ACTIVO: Indeciso Activo
  [0073/829] PREDIK-PE-0666 (Lima) -> ACTIVO: Indeciso Activo
  [0074/829] PREDIK-PE-0402 (Lima) -> ACTIVO: Indeciso Activo
  [0075/829] PREDIK-PE-0906 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (75 procesados)
  [0076/829] PREDIK-PE-0411 (Lima) -> ACTIVO: Indeciso Activo
  [0077/829] PREDIK-PE-0697 (Lima) -> ACTIVO: Indeciso Activo
  [0078/829] PREDIK-PE-0286 (Lima) -> ACTIVO: Indeciso Activo
  [0079/829] PREDIK-PE-0235 (Lima) -> ACTIVO: Indeciso Activo
  [0080/829] PREDIK-PE-0027 (Lima) -> ACTIVO: Indeciso Activo
  [0081/829] PREDIK-PE-0482 (Lima) -> ACTIVO: Indeciso Activo
  [0082/829] PREDIK-PE-0452 (Lima) -> ACTIVO: Indeciso Activo
  [0083/829] PREDIK-PE-0209 (Lima) -> ACTIVO: Indeciso Activo
  [0084/829] PREDIK-PE-0640 (Lima) -> ACTIVO: Indeciso Activo
  [0085/829] PREDIK-PE-0326 (Lima) -> ACTIVO: Indeciso Activo
  [0086/829] PREDIK-PE-0294 (Lima) -> ACTIVO: Indeciso Activo
  [0087/829] PREDIK-PE-0709 (Lima) -> ACTIVO: Indeciso Activo
  [0088/829] PREDIK-PE-0097 (Lima) -> ACTIVO: Indeciso Activo
  [0089/829] PREDIK-PE-0618 (Lima) -> ACTIVO: Indeciso Activo
  [0090/829] PREDIK-PE-0821 (Lima) -> ACTIVO: Indeciso Activo
  [0091/829] PREDIK-PE-0026 (Lima) -> ACTIVO: Indeciso Activo
  [0092/829] PREDIK-PE-0222 (Lima) -> ACTIVO: Indeciso Activo
  [0093/829] PREDIK-PE-0681 (Lima) -> ACTIVO: Indeciso Activo
  [0094/829] PREDIK-PE-0696 (Lima) -> ACTIVO: Indeciso Activo
  [0095/829] PREDIK-PE-0920 (Lima) -> ACTIVO: Indeciso Activo
  [0096/829] PREDIK-PE-0040 (Lima) -> ACTIVO: Indeciso Activo
  [0097/829] PREDIK-PE-0172 (Lima) -> ACTIVO: Indeciso Activo
  [0098/829] PREDIK-PE-0475 (Lima) -> ACTIVO: Indeciso Activo
  [0099/829] PREDIK-PE-0925 (Lima) -> ACTIVO: Indeciso Activo
  [0100/829] PREDIK-PE-0378 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (100 procesados)
  [0101/829] PREDIK-PE-0962 (Lima) -> ACTIVO: Indeciso Activo
  [0102/829] PREDIK-PE-0451 (Lima) -> ACTIVO: Indeciso Activo
  [0103/829] PREDIK-PE-0588 (Lima) -> ACTIVO: Indeciso Activo
  [0104/829] PREDIK-PE-0820 (Lima) -> ACTIVO: Indeciso Activo
  [0105/829] PREDIK-PE-0905 (Lima) -> ACTIVO: Indeciso Activo
  [0106/829] PREDIK-PE-0314 (Lima) -> ACTIVO: Indeciso Activo
  [0107/829] PREDIK-PE-0076 (Lima) -> ACTIVO: Indeciso Activo
  [0108/829] PREDIK-PE-0473 (Lima) -> ACTIVO: Indeciso Activo
  [0109/829] PREDIK-PE-0912 (Lima) -> ACTIVO: Indeciso Activo
  [0110/829] PREDIK-PE-0072 (Lima) -> ACTIVO: Indeciso Activo
  [0111/829] PREDIK-PE-0167 (Lima) -> ACTIVO: Indeciso Activo
  [0112/829] PREDIK-PE-0638 (Lima) -> ACTIVO: Indeciso Activo
  [0113/829] PREDIK-PE-0099 (Lima) -> ACTIVO: Indeciso Activo
  [0114/829] PREDIK-PE-0332 (Lima) -> ACTIVO: Indeciso Activo
  [0115/829] PREDIK-PE-0947 (Lima) -> ACTIVO: Indeciso Activo
  [0116/829] PREDIK-PE-0808 (Lima) -> ACTIVO: Indeciso Activo
  [0117/829] PREDIK-PE-0621 (Lima) -> ACTIVO: Indeciso Activo
  [0118/829] PREDIK-PE-0940 (Lima) -> ACTIVO: Indeciso Activo
  [0119/829] PREDIK-PE-0726 (Lima) -> ACTIVO: Indeciso Activo
  [0120/829] PREDIK-PE-0534 (Lima) -> ACTIVO: Indeciso Activo
  [0121/829] PREDIK-PE-0080 (Lima) -> ACTIVO: Indeciso Activo
  [0122/829] PREDIK-PE-0287 (Lima) -> ACTIVO: Indeciso Activo
  [0123/829] PREDIK-PE-0431 (Lima) -> ACTIVO: Indeciso Activo
  [0124/829] PREDIK-PE-0300 (Lima) -> ACTIVO: Indeciso Activo
  [0125/829] PREDIK-PE-0170 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (125 procesados)
  [0126/829] PREDIK-PE-0044 (Lima) -> ACTIVO: Indeciso Activo
  [0127/829] PREDIK-PE-0255 (Lima) -> ACTIVO: Indeciso Activo
  [0128/829] PREDIK-PE-0162 (Lima) -> ACTIVO: Indeciso Activo
  [0129/829] PREDIK-PE-0163 (Lima) -> ACTIVO: Indeciso Activo
  [0130/829] PREDIK-PE-0669 (Lima) -> ACTIVO: Indeciso Activo
  [0131/829] PREDIK-PE-0285 (Lima) -> ACTIVO: Indeciso Activo
  [0132/829] PREDIK-PE-0438 (Lima) -> ACTIVO: Indeciso Activo
  [0133/829] PREDIK-PE-0539 (Lima) -> ACTIVO: Indeciso Activo
  [0134/829] PREDIK-PE-0983 (Lima) -> ACTIVO: Indeciso Activo
  [0135/829] PREDIK-PE-0859 (Lima) -> ACTIVO: Indeciso Activo
  [0136/829] PREDIK-PE-0825 (Lima) -> ACTIVO: Indeciso Activo
  [0137/829] PREDIK-PE-0757 (Lima) -> ACTIVO: Indeciso Activo
  [0138/829] PREDIK-PE-0382 (Lima) -> ACTIVO: Indeciso Activo
  [0139/829] PREDIK-PE-0871 (Lima) -> ACTIVO: Indeciso Activo
  [0140/829] PREDIK-PE-0045 (Lima) -> ACTIVO: Indeciso Activo
  [0141/829] PREDIK-PE-0228 (Lima) -> ACTIVO: Indeciso Activo
  [0142/829] PREDIK-PE-0250 (Lima) -> ACTIVO: Indeciso Activo
  [0143/829] PREDIK-PE-0283 (Lima) -> ACTIVO: Indeciso Activo
  [0144/829] PREDIK-PE-0594 (Lima) -> ACTIVO: Indeciso Activo
  [0145/829] PREDIK-PE-0446 (Lima) -> ACTIVO: Indeciso Activo
  [0146/829] PREDIK-PE-0315 (Lima) -> ACTIVO: Indeciso Activo
  [0147/829] PREDIK-PE-0701 (Lima) -> ACTIVO: Indeciso Activo
  [0148/829] PREDIK-PE-0760 (Lima) -> ACTIVO: Indeciso Activo
  [0149/829] PREDIK-PE-0657 (Lima) -> ACTIVO: Indeciso Activo
  [0150/829] PREDIK-PE-0687 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (150 procesados)
  [0151/829] PREDIK-PE-0443 (Lima) -> ACTIVO: Indeciso Activo
  [0152/829] PREDIK-PE-0085 (Lima) -> ACTIVO: Indeciso Activo
  [0153/829] PREDIK-PE-0958 (Lima) -> ACTIVO: Indeciso Activo
  [0154/829] PREDIK-PE-0573 (Lima) -> ACTIVO: Indeciso Activo
  [0155/829] PREDIK-PE-0298 (Lima) -> ACTIVO: Indeciso Activo
  [0156/829] PREDIK-PE-0005 (Lima) -> ACTIVO: Indeciso Activo
  [0157/829] PREDIK-PE-0218 (Lima) -> ACTIVO: Indeciso Activo
  [0158/829] PREDIK-PE-0098 (Lima) -> ACTIVO: Indeciso Activo
  [0159/829] PREDIK-PE-0598 (Lima) -> ACTIVO: Indeciso Activo
  [0160/829] PREDIK-PE-0456 (Lima) -> ACTIVO: Indeciso Activo
  [0161/829] PREDIK-PE-0531 (Lima) -> ACTIVO: Indeciso Activo
  [0162/829] PREDIK-PE-0536 (Lima) -> ACTIVO: Indeciso Activo
  [0163/829] PREDIK-PE-0742 (Lima) -> ACTIVO: Indeciso Activo
  [0164/829] PREDIK-PE-0272 (Lima) -> ACTIVO: Indeciso Activo
  [0165/829] PREDIK-PE-0818 (Lima) -> ACTIVO: Indeciso Activo
  [0166/829] PREDIK-PE-0740 (Lima) -> ACTIVO: Indeciso Activo
  [0167/829] PREDIK-PE-0455 (Lima) -> ACTIVO: Indeciso Activo
  [0168/829] PREDIK-PE-0319 (Lima) -> ACTIVO: Indeciso Activo
  [0169/829] PREDIK-PE-0384 (Lima) -> ACTIVO: Indeciso Activo
  [0170/829] PREDIK-PE-0079 (Lima) -> ACTIVO: Indeciso Activo
  [0171/829] PREDIK-PE-0832 (Lima) -> ACTIVO: Indeciso Activo
  [0172/829] PREDIK-PE-0047 (Lima) -> ACTIVO: Indeciso Activo
  [0173/829] PREDIK-PE-0566 (Lima) -> ACTIVO: Indeciso Activo
  [0174/829] PREDIK-PE-0622 (Lima) -> ACTIVO: Indeciso Activo
  [0175/829] PREDIK-PE-0490 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (175 procesados)
  [0176/829] PREDIK-PE-0330 (Lima) -> ACTIVO: Indeciso Activo
  [0177/829] PREDIK-PE-0668 (Lima) -> ACTIVO: Indeciso Activo
  [0178/829] PREDIK-PE-0637 (Lima) -> ACTIVO: Indeciso Activo
  [0179/829] PREDIK-PE-0635 (Lima) -> ACTIVO: Indeciso Activo
  [0180/829] PREDIK-PE-0361 (Lima) -> ACTIVO: Indeciso Activo
  [0181/829] PREDIK-PE-0379 (Lima) -> ACTIVO: Indeciso Activo
  [0182/829] PREDIK-PE-0888 (Lima) -> ACTIVO: Indeciso Activo
  [0183/829] PREDIK-PE-0995 (Lima) -> ACTIVO: Indeciso Activo
  [0184/829] PREDIK-PE-0237 (Lima) -> ACTIVO: Indeciso Activo
  [0185/829] PREDIK-PE-0679 (Lima) -> ACTIVO: Indeciso Activo
  [0186/829] PREDIK-PE-0592 (Lima) -> ACTIVO: Indeciso Activo
  [0187/829] PREDIK-PE-0745 (Lima) -> ACTIVO: Indeciso Activo
  [0188/829] PREDIK-PE-0862 (Lima) -> ACTIVO: Indeciso Activo
  [0189/829] PREDIK-PE-0674 (Lima) -> ACTIVO: Indeciso Activo
  [0190/829] PREDIK-PE-0282 (Lima) -> ACTIVO: Indeciso Activo
  [0191/829] PREDIK-PE-0554 (Lima) -> ACTIVO: Indeciso Activo
  [0192/829] PREDIK-PE-0773 (Lima) -> ACTIVO: Indeciso Activo
  [0193/829] PREDIK-PE-0269 (Lima) -> ACTIVO: Indeciso Activo
  [0194/829] PREDIK-PE-0617 (Lima) -> ACTIVO: Indeciso Activo
  [0195/829] PREDIK-PE-0386 (Lima) -> ACTIVO: Indeciso Activo
  [0196/829] PREDIK-PE-0241 (Lima) -> ACTIVO: Indeciso Activo
  [0197/829] PREDIK-PE-0469 (Lima) -> ACTIVO: Indeciso Activo
  [0198/829] PREDIK-PE-0956 (Lima) -> ACTIVO: Indeciso Activo
  [0199/829] PREDIK-PE-0467 (Lima) -> ACTIVO: Indeciso Activo
  [0200/829] PREDIK-PE-0546 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (200 procesados)
  [0201/829] PREDIK-PE-0748 (Lima) -> ACTIVO: Indeciso Activo
  [0202/829] PREDIK-PE-0173 (Lima) -> ACTIVO: Indeciso Activo
  [0203/829] PREDIK-PE-0886 (Lima) -> ACTIVO: Indeciso Activo
  [0204/829] PREDIK-PE-0488 (Lima) -> ACTIVO: Indeciso Activo
  [0205/829] PREDIK-PE-0509 (Lima) -> ACTIVO: Indeciso Activo
  [0206/829] PREDIK-PE-0883 (Lima) -> ACTIVO: Indeciso Activo
  [0207/829] PREDIK-PE-0752 (Lima) -> ACTIVO: Indeciso Activo
  [0208/829] PREDIK-PE-0214 (Lima) -> ACTIVO: Indeciso Activo
  [0209/829] PREDIK-PE-0011 (Lima) -> ACTIVO: Indeciso Activo
  [0210/829] PREDIK-PE-0612 (Lima) -> ACTIVO: Indeciso Activo
  [0211/829] PREDIK-PE-0468 (Lima) -> ACTIVO: Indeciso Activo
  [0212/829] PREDIK-PE-0700 (Lima) -> ACTIVO: Indeciso Activo
  [0213/829] PREDIK-PE-0841 (Lima) -> ACTIVO: Indeciso Activo
  [0214/829] PREDIK-PE-0150 (Lima) -> ACTIVO: Indeciso Activo
  [0215/829] PREDIK-PE-0937 (Lima) -> ACTIVO: Indeciso Activo
  [0216/829] PREDIK-PE-0789 (Lima) -> ACTIVO: Indeciso Activo
  [0217/829] PREDIK-PE-0941 (Lima) -> ACTIVO: Indeciso Activo
  [0218/829] PREDIK-PE-0744 (Lima) -> ACTIVO: Indeciso Activo
  [0219/829] PREDIK-PE-0853 (Lima) -> ACTIVO: Indeciso Activo
  [0220/829] PREDIK-PE-0727 (Lima) -> ACTIVO: Indeciso Activo
  [0221/829] PREDIK-PE-0477 (Lima) -> ACTIVO: Indeciso Activo
  [0222/829] PREDIK-PE-0526 (Lima) -> ACTIVO: Indeciso Activo
  [0223/829] PREDIK-PE-0722 (Lima) -> ACTIVO: Indeciso Activo
  [0224/829] PREDIK-PE-0145 (Lima) -> ACTIVO: Indeciso Activo
  [0225/829] PREDIK-PE-0113 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (225 procesados)
  [0226/829] PREDIK-PE-0816 (Lima) -> ACTIVO: Indeciso Activo
  [0227/829] PREDIK-PE-0928 (Lima) -> ACTIVO: Indeciso Activo
  [0228/829] PREDIK-PE-0032 (Lima) -> ACTIVO: Indeciso Activo
  [0229/829] PREDIK-PE-0016 (Lima) -> ACTIVO: Indeciso Activo
  [0230/829] PREDIK-PE-0865 (Lima) -> ACTIVO: Indeciso Activo
  [0231/829] PREDIK-PE-0515 (Lima) -> ACTIVO: Indeciso Activo
  [0232/829] PREDIK-PE-0068 (Lima) -> ACTIVO: Indeciso Activo
  [0233/829] PREDIK-PE-0755 (Lima) -> ACTIVO: Indeciso Activo
  [0234/829] PREDIK-PE-0506 (Lima) -> ACTIVO: Indeciso Activo
  [0235/829] PREDIK-PE-0858 (Lima) -> ACTIVO: Indeciso Activo
  [0236/829] PREDIK-PE-0969 (Lima) -> ACTIVO: Indeciso Activo
  [0237/829] PREDIK-PE-0822 (Lima) -> ACTIVO: Indeciso Activo
  [0238/829] PREDIK-PE-0819 (Lima) -> ACTIVO: Indeciso Activo
  [0239/829] PREDIK-PE-0093 (Lima) -> ACTIVO: Indeciso Activo
  [0240/829] PREDIK-PE-0839 (Lima) -> ACTIVO: Indeciso Activo
  [0241/829] PREDIK-PE-0689 (Lima) -> ACTIVO: Indeciso Activo
  [0242/829] PREDIK-PE-0797 (Lima) -> ACTIVO: Indeciso Activo
  [0243/829] PREDIK-PE-0851 (Lima) -> ACTIVO: Indeciso Activo
  [0244/829] PREDIK-PE-0131 (Lima) -> ACTIVO: Indeciso Activo
  [0245/829] PREDIK-PE-0730 (Lima) -> ACTIVO: Indeciso Activo
  [0246/829] PREDIK-PE-0156 (Lima) -> ACTIVO: Indeciso Activo
  [0247/829] PREDIK-PE-0833 (Lima) -> ACTIVO: Indeciso Activo
  [0248/829] PREDIK-PE-0525 (Lima) -> ACTIVO: Indeciso Activo
  [0249/829] PREDIK-PE-0723 (Lima) -> ACTIVO: Indeciso Activo
  [0250/829] PREDIK-PE-0585 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (250 procesados)
  [0251/829] PREDIK-PE-0747 (Lima) -> ACTIVO: Indeciso Activo
  [0252/829] PREDIK-PE-0694 (Lima) -> ACTIVO: Indeciso Activo
  [0253/829] PREDIK-PE-0481 (Lima) -> ACTIVO: Indeciso Activo
  [0254/829] PREDIK-PE-0095 (Lima) -> ACTIVO: Indeciso Activo
  [0255/829] PREDIK-PE-0175 (Lima) -> ACTIVO: Indeciso Activo
  [0256/829] PREDIK-PE-0931 (Lima) -> ACTIVO: Indeciso Activo
  [0257/829] PREDIK-PE-0512 (Lima) -> ACTIVO: Indeciso Activo
  [0258/829] PREDIK-PE-0898 (Lima) -> ACTIVO: Indeciso Activo
  [0259/829] PREDIK-PE-0670 (Lima) -> ACTIVO: Indeciso Activo
  [0260/829] PREDIK-PE-0069 (Lima) -> ACTIVO: Indeciso Activo
  [0261/829] PREDIK-PE-0606 (Lima) -> ACTIVO: Indeciso Activo
  [0262/829] PREDIK-PE-0692 (Lima) -> ACTIVO: Indeciso Activo
  [0263/829] PREDIK-PE-0007 (Lima) -> ACTIVO: Indeciso Activo
  [0264/829] PREDIK-PE-0429 (Lima) -> ACTIVO: Indeciso Activo
  [0265/829] PREDIK-PE-0781 (Lima) -> ACTIVO: Indeciso Activo
  [0266/829] PREDIK-PE-0308 (Lima) -> ACTIVO: Indeciso Activo
  [0267/829] PREDIK-PE-0577 (Lima) -> ACTIVO: Indeciso Activo
  [0268/829] PREDIK-PE-0904 (Lima) -> ACTIVO: Indeciso Activo
  [0269/829] PREDIK-PE-0545 (Lima) -> ACTIVO: Indeciso Activo
  [0270/829] PREDIK-PE-0884 (Lima) -> ACTIVO: Indeciso Activo
  [0271/829] PREDIK-PE-0423 (Lima) -> ACTIVO: Indeciso Activo
  [0272/829] PREDIK-PE-0916 (Lima) -> ACTIVO: Indeciso Activo
  [0273/829] PREDIK-PE-0297 (Lima) -> ACTIVO: Indeciso Activo
  [0274/829] PREDIK-PE-0073 (Lima) -> ACTIVO: Indeciso Activo
  [0275/829] PREDIK-PE-0790 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (275 procesados)
  [0276/829] PREDIK-PE-0489 (Lima) -> ACTIVO: Indeciso Activo
  [0277/829] PREDIK-PE-0060 (Lima) -> ACTIVO: Indeciso Activo
  [0278/829] PREDIK-PE-0767 (Lima) -> ACTIVO: Indeciso Activo
  [0279/829] PREDIK-PE-0902 (Lima) -> ACTIVO: Indeciso Activo
  [0280/829] PREDIK-PE-0724 (Lima) -> ACTIVO: Indeciso Activo
  [0281/829] PREDIK-PE-0543 (Lima) -> ACTIVO: Indeciso Activo
  [0282/829] PREDIK-PE-0544 (Lima) -> ACTIVO: Indeciso Activo
  [0283/829] PREDIK-PE-0510 (Lima) -> ACTIVO: Indeciso Activo
  [0284/829] PREDIK-PE-0938 (Lima) -> ACTIVO: Indeciso Activo
  [0285/829] PREDIK-PE-0051 (Lima) -> ACTIVO: Indeciso Activo
  [0286/829] PREDIK-PE-0188 (Lima) -> ACTIVO: Indeciso Activo
  [0287/829] PREDIK-PE-0158 (Lima) -> ACTIVO: Indeciso Activo
  [0288/829] PREDIK-PE-0989 (Lima) -> ACTIVO: Indeciso Activo
  [0289/829] PREDIK-PE-0407 (Lima) -> ACTIVO: Indeciso Activo
  [0290/829] PREDIK-PE-0892 (Lima) -> ACTIVO: Indeciso Activo
  [0291/829] PREDIK-PE-0980 (Lima) -> ACTIVO: Indeciso Activo
  [0292/829] PREDIK-PE-0659 (Lima) -> ACTIVO: Indeciso Activo
  [0293/829] PREDIK-PE-0335 (Lima) -> ACTIVO: Indeciso Activo
  [0294/829] PREDIK-PE-0377 (Lima) -> ACTIVO: Indeciso Activo
  [0295/829] PREDIK-PE-0848 (Lima) -> ACTIVO: Indeciso Activo
  [0296/829] PREDIK-PE-0127 (Lima) -> ACTIVO: Indeciso Activo
  [0297/829] PREDIK-PE-0639 (Lima) -> ACTIVO: Indeciso Activo
  [0298/829] PREDIK-PE-0394 (Lima) -> ACTIVO: Indeciso Activo
  [0299/829] PREDIK-PE-0225 (Lima) -> ACTIVO: Indeciso Activo
  [0300/829] PREDIK-PE-0135 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (300 procesados)
  [0301/829] PREDIK-PE-0201 (Lima) -> ACTIVO: Indeciso Activo
  [0302/829] PREDIK-PE-0911 (Lima) -> ACTIVO: Indeciso Activo
  [0303/829] PREDIK-PE-0128 (Lima) -> ACTIVO: Indeciso Activo
  [0304/829] PREDIK-PE-0648 (Lima) -> ACTIVO: Indeciso Activo
  [0305/829] PREDIK-PE-0802 (Lima) -> ACTIVO: Indeciso Activo
  [0306/829] PREDIK-PE-0576 (Lima) -> ACTIVO: Indeciso Activo
  [0307/829] PREDIK-PE-0234 (Lima) -> ACTIVO: Indeciso Activo
  [0308/829] PREDIK-PE-0445 (Lima) -> ACTIVO: Indeciso Activo
  [0309/829] PREDIK-PE-0271 (Lima) -> ACTIVO: Indeciso Activo
  [0310/829] PREDIK-PE-0564 (Lima) -> ACTIVO: Indeciso Activo
  [0311/829] PREDIK-PE-0187 (Lima) -> ACTIVO: Indeciso Activo
