Agent_ID,Region,NSE,Age,Gender,MBTI,VotoIntención,VotoBronca,InseguridadFocus,Volátil
PREDIK-PE-0950,Selva,Bajo,52,Masculino,ISFJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0085,Lima,Medio,66,Femenino,ESTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0626,Sierra,Medio,56,Femenino,ISFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0459,Costa,Bajo,59,Femenino,ESTP,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0976,Selva,Bajo,50,Masculino,ESTP,Candidato D (Centroderecha Tecnocrática),True,False,False
PREDIK-PE-0986,Selva,Medio,29,Masculino,ESFP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0929,Selva,Bajo,56,Femenino,ESFJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0193,Lima,Bajo,65,Femenino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0532,Costa,Medio,22,Femenino,INFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0252,Lima,Bajo,62,Masculino,ESTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0527,Costa,Bajo,62,Masculino,ENFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0498,Costa,Medio,34,Masculino,INFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0162,Lima,Medio,35,Masculino,ENTJ,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0356,Costa,Medio,64,No Binario,ENFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0651,Sierra,Bajo,33,Femenino,ENFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0509,Costa,Bajo,54,Masculino,INFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0861,Selva,Bajo,55,Masculino,INFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0572,Sierra,Bajo,26,Masculino,ISTP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0148,Lima,Medio-Alto,71,Femenino,INTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0684,Sierra,Bajo,19,Masculino,ISFP,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0666,Sierra,Bajo,32,Masculino,ISFP,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0378,Costa,Medio,49,Femenino,ENTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0849,Selva,Bajo,55,Masculino,ESFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0577,Sierra,Bajo,46,Femenino,ESFP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0900,Selva,Bajo,22,No Binario,ENFJ,Candidato B (Derecha Tradicional),True,False,False
PREDIK-PE-0063,Lima,Medio,72,Masculino,INFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0476,Costa,Bajo,38,Masculino,ENFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0224,Lima,Alto,67,Masculino,ENTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0716,Sierra,Bajo,36,Femenino,INFP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0100,Lima,Medio,61,Femenino,ESFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0397,Costa,Bajo,33,Masculino,ESTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0388,Costa,Medio,49,Masculino,INTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0433,Costa,Medio-Alto,57,Masculino,ISTP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0443,Costa,Medio,32,Femenino,ISFP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0766,Sierra,Medio,69,Femenino,ENFP,Candidato D (Centroderecha Tecnocrática),True,True,False
PREDIK-PE-0045,Lima,Medio-Alto,62,Masculino,ISTJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0423,Costa,Medio,72,Masculino,ESFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0263,Lima,Medio-Alto,67,Masculino,INTJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0639,Sierra,Bajo,23,Femenino,INTP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0748,Sierra,Bajo,22,No Binario,ISFP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0297,Lima,Medio-Alto,18,Femenino,ISFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0868,Selva,Medio,67,Femenino,ENFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0328,Lima,Medio,53,Masculino,ENTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0192,Lima,Medio,66,Femenino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0468,Costa,Medio-Alto,20,Femenino,INTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0370,Costa,Medio-Alto,40,Masculino,ENTJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0665,Sierra,Bajo,59,Femenino,INTP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0073,Lima,Medio,51,Femenino,ESFJ,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0818,Selva,Bajo,28,Femenino,ESTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0068,Lima,Medio,43,Masculino,INTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0034,Lima,Medio,39,Femenino,ENFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0232,Lima,Medio,30,Femenino,ESTJ,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0734,Sierra,Medio,26,Femenino,ESTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0147,Lima,Medio-Alto,70,Femenino,ESTJ,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0905,Selva,Bajo,26,Masculino,ESFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0637,Sierra,Bajo,31,Femenino,ESTP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0724,Sierra,Medio,36,Masculino,ENFJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0520,Costa,Bajo,71,Masculino,ESFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0794,Sierra,Bajo,48,Masculino,ENFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0946,Selva,Medio,65,Femenino,ISFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0249,Lima,Medio-Alto,52,Masculino,ESTP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0331,Lima,Bajo,38,Femenino,INTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0121,Lima,Medio-Alto,51,Femenino,ENFP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0072,Lima,Medio-Alto,40,Masculino,ESTP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0363,Costa,Medio,41,Femenino,INFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0747,Sierra,Bajo,24,Masculino,ENTJ,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0225,Lima,Medio,34,Femenino,ENFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0561,Sierra,Bajo,55,Masculino,ISFP,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0502,Costa,Bajo,31,Masculino,ESTJ,Voto Blanco / Nulo,False,False,False
PREDIK-PE-0255,Lima,Medio-Alto,39,Femenino,INFJ,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0989,Selva,Bajo,35,Femenino,ESFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0845,Selva,Bajo,72,Masculino,ENFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0961,Selva,Bajo,25,Femenino,INTP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0663,Sierra,Bajo,23,No Binario,ISFJ,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0014,Lima,Medio,65,Masculino,ENFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0323,Lima,Medio,29,Femenino,INTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0172,Lima,Medio,50,Masculino,ESTP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0351,Costa,Bajo,32,No Binario,ISFP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0893,Selva,Medio,66,Femenino,ENFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0120,Lima,Bajo,24,Femenino,ENFJ,Candidato B (Derecha Tradicional),True,True,False
PREDIK-PE-0886,Selva,Bajo,49,Masculino,ENFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0852,Selva,Bajo,40,Masculino,ENTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0930,Selva,Medio,60,Masculino,ISTP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0583,Sierra,Medio,28,Masculino,ESTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0117,Lima,Bajo,54,Masculino,ISTP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0744,Sierra,Bajo,61,Masculino,ENTP,Indeciso — Voto Volátil,False,False,False
PREDIK-PE-0919,Selva,Medio,65,Masculino,ISFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0325,Lima,Medio-Alto,57,Femenino,INFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0699,Sierra,Bajo,71,Masculino,INFP,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0602,Sierra,Bajo,64,Femenino,ESTJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0295,Lima,Medio-Alto,70,Masculino,ESFP,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0695,Sierra,Medio,72,Masculino,ENTP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0242,Lima,Medio,44,Femenino,ISTP,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0531,Costa,Medio,71,Femenino,ESTJ,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0330,Lima,Medio-Alto,56,Masculino,ESFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0551,Sierra,Bajo,37,Masculino,ESFJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0769,Sierra,Medio,52,Masculino,ENTP,Candidato D (Centroderecha Tecnocrática),True,True,False
PREDIK-PE-0233,Lima,Bajo,61,Masculino,INTP,Candidato B (Derecha Tradicional),True,True,False
PREDIK-PE-0483,Costa,Medio,37,Masculino,ESTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0269,Lima,Medio,72,Femenino,ESFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0329,Lima,Alto,69,Femenino,ENFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0592,Sierra,Bajo,46,Femenino,ENFJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0390,Costa,Bajo,44,Masculino,ENFJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0800,Sierra,Medio,30,Masculino,ENTJ,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0178,Lima,Medio-Alto,22,Femenino,ESFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0858,Selva,Bajo,28,Masculino,ESFP,Candidato B (Derecha Tradicional),True,True,False
PREDIK-PE-0953,Selva,Bajo,29,Masculino,INFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0985,Selva,Medio,27,Masculino,ISFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0245,Lima,Medio,24,Masculino,ISTP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0504,Costa,Medio,44,Masculino,INTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0705,Sierra,Medio,19,Femenino,ENFP,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0703,Sierra,Medio,53,Masculino,ESTJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0717,Sierra,Bajo,68,Masculino,ISFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0216,Lima,Alto,18,Femenino,ENTJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0486,Costa,Bajo,29,Masculino,INTP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0221,Lima,Medio-Alto,66,Femenino,ISFP,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0991,Selva,Medio,58,Femenino,ISFP,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0492,Costa,Medio,19,Femenino,ESFJ,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0354,Costa,Medio,39,Masculino,ENTJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0256,Lima,Bajo,44,Masculino,INTJ,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0731,Sierra,Medio,46,Femenino,ENFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0176,Lima,Medio,51,Masculino,ESTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0348,Lima,Bajo,38,Femenino,ESFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0489,Costa,Medio,62,Femenino,ESTJ,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0691,Sierra,Bajo,67,Masculino,ESFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0844,Selva,Bajo,35,Femenino,INTJ,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0004,Lima,Medio-Alto,54,Masculino,ESTJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0781,Sierra,Medio,38,Femenino,INFP,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0643,Sierra,Bajo,54,Femenino,ISFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0954,Selva,Bajo,44,Masculino,ENFJ,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0810,Selva,Bajo,27,Masculino,INTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0247,Lima,Medio,27,Masculino,ISTJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0101,Lima,Medio,22,Femenino,ESTP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0840,Selva,Bajo,34,Femenino,INTJ,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0294,Lima,Bajo,55,Femenino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0790,Sierra,Bajo,27,Masculino,ESTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0690,Sierra,Bajo,46,Femenino,INTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0405,Costa,Medio,21,Femenino,ENTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0414,Costa,Bajo,65,Femenino,ESFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0484,Costa,Medio,25,Masculino,ESTJ,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0611,Sierra,Medio,27,Femenino,ENFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0307,Lima,Medio,57,Femenino,ESFJ,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0763,Sierra,Bajo,54,Femenino,ENFJ,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0837,Selva,Bajo,44,Masculino,ENFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0969,Selva,Bajo,51,Masculino,ESTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0238,Lima,Medio,43,Masculino,ISFP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0380,Costa,Medio,33,Masculino,INFJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0491,Costa,Medio,68,Masculino,INFP,Voto Blanco / Nulo,False,False,False
PREDIK-PE-0075,Lima,Bajo,70,Masculino,ISFP,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0542,Costa,Medio,51,Femenino,ENTJ,Candidato C (Izquierda Social),True,False,False
PREDIK-PE-0357,Costa,Medio,34,Masculino,INTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0600,Sierra,Bajo,68,Masculino,ISFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0160,Lima,Medio-Alto,63,Femenino,ESTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0813,Selva,Medio,39,Femenino,INFP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0106,Lima,Medio,41,Masculino,INTJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0197,Lima,Medio-Alto,54,Femenino,ISTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0053,Lima,Bajo,53,Masculino,ESFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0342,Lima,Medio-Alto,27,Femenino,ESFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0028,Lima,Medio,35,Femenino,ISFJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0465,Costa,Medio,54,Masculino,INTJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0137,Lima,Bajo,43,Masculino,INTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0485,Costa,Bajo,57,Femenino,ESFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0938,Selva,Bajo,55,Femenino,ESFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0479,Costa,Bajo,58,Femenino,ESFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0110,Lima,Bajo,42,Masculino,ISFJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0182,Lima,Bajo,64,Masculino,ENTP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0003,Lima,Medio,63,Masculino,ENTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0223,Lima,Medio,43,Femenino,ENFP,Candidato B (Derecha Tradicional),True,False,False
PREDIK-PE-0201,Lima,Medio-Alto,44,Femenino,ESFJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0494,Costa,Bajo,34,Masculino,ISFP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0632,Sierra,Bajo,67,Masculino,ESFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0538,Costa,Medio,54,Masculino,INFJ,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0997,Selva,Bajo,58,Femenino,ENFP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0535,Costa,Bajo,71,Femenino,ISFJ,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0341,Lima,Medio-Alto,61,Masculino,ISTP,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0904,Selva,Medio,61,Masculino,INFJ,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0279,Lima,Medio,20,Femenino,INTP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0096,Lima,Medio,54,Masculino,ISTJ,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0203,Lima,Medio,34,Masculino,INTP,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0873,Selva,Medio,33,Femenino,ENTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0290,Lima,Bajo,32,Femenino,ISTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0618,Sierra,Bajo,69,Masculino,INTJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0519,Costa,Bajo,25,Femenino,ISTP,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0739,Sierra,Bajo,28,Femenino,INFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0234,Lima,Medio,29,Masculino,ISFJ,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0026,Lima,Medio,50,Femenino,ISFP,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0457,Costa,Medio,42,Femenino,INTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0944,Selva,Bajo,31,Masculino,ESFJ,Candidato D (Centroderecha Tecnocrática),False,False,False
PREDIK-PE-0685,Sierra,Bajo,23,Masculino,ISFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0022,Lima,Medio,55,Femenino,ISTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0047,Lima,Alto,48,Masculino,ENFP,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0312,Lima,Medio-Alto,51,Femenino,INTP,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0622,Sierra,Bajo,71,Masculino,ESFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0159,Lima,Medio,56,Femenino,ISFJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0916,Selva,Bajo,39,Masculino,ENTP,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0298,Lima,Medio-Alto,39,Masculino,ESFP,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0601,Sierra,Medio,36,Femenino,ISTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0614,Sierra,Bajo,45,Femenino,INTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0779,Sierra,Bajo,71,Masculino,INFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0399,Costa,Bajo,46,Masculino,ENTJ,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0059,Lima,Medio-Alto,42,Masculino,ENTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0642,Sierra,Medio,35,Masculino,ENFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0672,Sierra,Bajo,36,Femenino,ENFP,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0287,Lima,Bajo,49,Masculino,INFJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0141,Lima,Bajo,60,Masculino,ESFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0436,Costa,Medio,40,Femenino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0939,Selva,Bajo,21,Masculino,ISTJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0529,Costa,Medio,71,Femenino,INTP,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0258,Lima,Medio-Alto,42,Masculino,INTP,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0751,Sierra,Medio,63,Masculino,ESTP,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0021,Lima,Bajo,65,Femenino,ESFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0899,Selva,Bajo,62,Femenino,INTP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0371,Costa,Medio,63,Femenino,ENFP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0118,Lima,Medio-Alto,65,Masculino,ESTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0333,Lima,Bajo,40,Femenino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0264,Lima,Medio,29,Masculino,ISTJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0925,Selva,Medio,65,Femenino,ENTP,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0753,Sierra,Bajo,47,Femenino,INTJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0688,Sierra,Medio,35,Femenino,INTJ,Candidato D (Centroderecha Tecnocrática),False,False,False
PREDIK-PE-0274,Lima,Medio,60,Femenino,ESFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0447,Costa,Bajo,26,Femenino,ISTJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0650,Sierra,Medio,55,Masculino,ENTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0215,Lima,Bajo,36,Masculino,ISTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0801,Selva,Bajo,33,Femenino,ESFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0500,Costa,Bajo,33,Femenino,ESFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0239,Lima,Alto,38,Femenino,ISTJ,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0188,Lima,Medio,41,Femenino,ISTJ,Candidato A (Populista / Anti-Sistema),False,False,False
