Agent_ID,Geo,NSE,Age,Sit_Personal,Bienes_Durables,Sit_Pais
Agent_0049,Interior,ABC1,38,Neutral,Positiva,Negativa
Agent_0050,GBA,D/E,63,Negativa,Negativa,Neutral
Agent_0051,GBA,C3,58,Negativa,Negativa,Positiva
Agent_0052,GBA,D/E,38,Negativa,Negativa,Neutral
Agent_0053,GBA,D/E,27,Negativa,Negativa,Negativa
Agent_0054,GBA,D/E,71,Negativa,Negativa,Negativa
Agent_0055,Interior,D/E,80,Negativa,Negativa,Neutral
Agent_0056,Interior,D/E,71,Negativa,Negativa,Positiva
Agent_0057,GBA,D/E,50,Negativa,Negativa,Neutral
Agent_0058,Interior,C2,18,Neutral,Negativa,Positiva
Agent_0059,GBA,C3,45,Neutral,Negativa,Positiva
Agent_0060,GBA,D/E,83,Neutral,Negativa,Positiva
Agent_0061,Interior,C3,24,Positiva,Neutral,Neutral
Agent_0062,GBA,D/E,43,Negativa,Negativa,Negativa
Agent_0063,CABA,C3,33,Neutral,Positiva,Positiva
Agent_0064,GBA,ABC1,32,Positiva,Negativa,Positiva
Agent_0065,Interior,C2,50,Positiva,Neutral,Neutral
Agent_0066,GBA,D/E,18,Negativa,Negativa,Negativa
Agent_0067,Interior,C3,73,Positiva,Neutral,Neutral
Agent_0068,Interior,D/E,64,Negativa,Negativa,Negativa
Agent_0069,CABA,D/E,66,Neutral,Negativa,Negativa
Agent_0070,GBA,D/E,61,Negativa,Negativa,Neutral
Agent_0071,GBA,C3,81,Positiva,Negativa,Positiva
Agent_0072,Interior,D/E,74,Negativa,Negativa,Negativa
Agent_0073,Interior,C3,23,Neutral,Neutral,Positiva
Agent_0074,GBA,D/E,30,Negativa,Negativa,Negativa
Agent_0075,Interior,C3,57,Positiva,Negativa,Positiva
Agent_0076,GBA,C3,64,Neutral,Negativa,Negativa
Agent_0077,GBA,D/E,24,Positiva,Negativa,Positiva
Agent_0078,GBA,D/E,47,Negativa,Negativa,Neutral
Agent_0079,Interior,D/E,79,Negativa,Negativa,Neutral
Agent_0080,Interior,D/E,44,Negativa,Negativa,Negativa
Agent_0081,CABA,C2,41,Neutral,Positiva,Negativa
Agent_0082,Interior,D/E,85,Negativa,Neutral,Positiva
Agent_0083,Interior,C2,83,Neutral,Positiva,Positiva
Agent_0084,Interior,D/E,41,Negativa,Negativa,Neutral
Agent_0085,Interior,D/E,42,Negativa,Negativa,Negativa
Agent_0086,Interior,C3,42,Positiva,Negativa,Positiva
Agent_0087,Interior,ABC1,36,Neutral,Negativa,Positiva
Agent_0088,CABA,C2,52,Neutral,Positiva,Negativa
Agent_0089,Interior,ABC1,20,Positiva,Negativa,Neutral
Agent_0090,Interior,C3,59,Neutral,Negativa,Negativa
Agent_0091,Interior,C3,28,Neutral,Neutral,Positiva
Agent_0092,Interior,C2,22,Positiva,Positiva,Negativa
Agent_0093,Interior,C3,78,Negativa,Negativa,Negativa
Agent_0094,Interior,D/E,66,Neutral,Negativa,Negativa
Agent_0095,Interior,C3,59,Positiva,Neutral,Positiva
Agent_0096,CABA,D/E,46,Negativa,Negativa,Positiva
Agent_0097,GBA,D/E,53,Negativa,Negativa,Negativa
Agent_0098,Interior,C3,51,Positiva,Negativa,Neutral
Agent_0099,Interior,D/E,51,Negativa,Negativa,Negativa
Agent_0100,Interior,ABC1,50,Negativa,Neutral,Positiva
Agent_0101,Interior,C3,23,Neutral,Positiva,Positiva
Agent_0102,Interior,ABC1,48,Positiva,Negativa,Neutral
Agent_0103,Interior,D/E,85,Neutral,Negativa,Positiva
Agent_0104,Interior,C3,30,Positiva,Negativa,Negativa
Agent_0105,CABA,C2,21,Negativa,Negativa,Neutral
Agent_0106,Interior,C3,21,Positiva,Negativa,Positiva
Agent_0107,Interior,ABC1,56,Neutral,Negativa,Positiva
Agent_0108,Interior,D/E,62,Negativa,Negativa,Negativa
Agent_0109,GBA,C3,32,Neutral,Negativa,Positiva
Agent_0110,Interior,D/E,41,Negativa,Negativa,Neutral
Agent_0111,CABA,D/E,28,Positiva,Negativa,Neutral
Agent_0112,Interior,D/E,34,Negativa,Neutral,Negativa
Agent_0113,Interior,D/E,54,Negativa,Negativa,Neutral
Agent_0114,Interior,D/E,47,Neutral,Negativa,Negativa
Agent_0115,Interior,C3,79,Neutral,Negativa,Negativa
Agent_0116,Interior,D/E,72,Negativa,Negativa,Positiva
Agent_0117,Interior,D/E,33,Negativa,Negativa,Negativa
Agent_0118,CABA,D/E,30,Negativa,Neutral,Neutral
Agent_0119,Interior,D/E,49,Negativa,Negativa,Negativa
Agent_0120,CABA,C3,57,Neutral,Negativa,Neutral
Agent_0121,CABA,D/E,32,Negativa,Negativa,Negativa
Agent_0122,GBA,ABC1,70,Neutral,Negativa,Positiva
Agent_0123,Interior,D/E,55,Neutral,Negativa,Negativa
Agent_0124,Interior,D/E,72,Negativa,Negativa,Negativa
Agent_0125,CABA,C2,31,Positiva,Positiva,Positiva
Agent_0126,Interior,D/E,48,Negativa,Negativa,Neutral
Agent_0127,GBA,ABC1,37,Neutral,Negativa,Positiva
Agent_0128,Interior,ABC1,48,Positiva,Negativa,Neutral
Agent_0129,GBA,D/E,65,Neutral,Negativa,Negativa
Agent_0130,Interior,ABC1,18,Neutral,Negativa,Positiva
Agent_0131,Interior,D/E,26,Neutral,Negativa,Negativa
Agent_0132,Interior,D/E,61,Negativa,Neutral,Negativa
Agent_0133,Interior,D/E,62,Negativa,Negativa,Negativa
Agent_0134,Interior,C2,76,Positiva,Neutral,Positiva
Agent_0135,Interior,C3,75,Neutral,Neutral,Positiva
Agent_0136,GBA,D/E,22,Negativa,Negativa,Negativa
Agent_0137,GBA,D/E,44,Negativa,Neutral,Neutral
Agent_0138,GBA,ABC1,58,Neutral,Negativa,Neutral
Agent_0139,Interior,D/E,19,Positiva,Negativa,Negativa
Agent_0140,Interior,ABC1,21,Positiva,Positiva,Positiva
Agent_0141,CABA,ABC1,75,Neutral,Neutral,Positiva
Agent_0142,GBA,D/E,18,Negativa,Negativa,Positiva
Agent_0143,Interior,D/E,28,Negativa,Negativa,Negativa
Agent_0144,GBA,C3,45,Neutral,Negativa,Neutral
Agent_0145,GBA,D/E,42,Negativa,Negativa,Negativa
Agent_0146,GBA,C3,46,Negativa,Negativa,Neutral
Agent_0147,Interior,C3,74,Neutral,Neutral,Neutral
Agent_0148,GBA,D/E,21,Negativa,Negativa,Neutral
Agent_0149,Interior,D/E,70,Negativa,Negativa,Negativa
Agent_0150,Interior,C3,20,Neutral,Neutral,Positiva
Agent_0151,Interior,D/E,23,Negativa,Negativa,Negativa
Agent_0152,GBA,C3,34,Negativa,Neutral,Neutral
Agent_0153,GBA,C2,36,Positiva,Neutral,Neutral
Agent_0154,GBA,C3,71,Neutral,Negativa,Negativa
Agent_0155,CABA,D/E,39,Neutral,Negativa,Negativa
Agent_0156,Interior,D/E,68,Negativa,Negativa,Negativa
Agent_0157,Interior,ABC1,35,Neutral,Negativa,Neutral
Agent_0158,Interior,D/E,43,Negativa,Negativa,Negativa
Agent_0159,GBA,D/E,54,Negativa,Negativa,Negativa
Agent_0160,GBA,D/E,65,Negativa,Negativa,Positiva
Agent_0161,Interior,D/E,68,Negativa,Negativa,Neutral
Agent_0162,Interior,C3,78,Neutral,Neutral,Positiva
Agent_0163,GBA,C3,34,Positiva,Negativa,Negativa
Agent_0164,Interior,ABC1,40,Negativa,Negativa,Negativa
Agent_0165,Interior,ABC1,39,Negativa,Neutral,Positiva
Agent_0166,Interior,C3,84,Neutral,Neutral,Neutral
Agent_0167,Interior,D/E,20,Negativa,Negativa,Positiva
Agent_0168,CABA,C3,19,Positiva,Negativa,Neutral
Agent_0169,Interior,C3,52,Neutral,Neutral,Negativa
Agent_0170,Interior,C3,82,Positiva,Neutral,Neutral
Agent_0171,GBA,C3,40,Neutral,Positiva,Negativa
Agent_0172,GBA,C3,52,Negativa,Negativa,Neutral
Agent_0173,Interior,C2,49,Negativa,Neutral,Negativa
Agent_0174,CABA,C3,68,Neutral,Positiva,Neutral
Agent_0175,CABA,C2,53,Positiva,Negativa,Positiva
Agent_0176,Interior,D/E,46,Negativa,Negativa,Negativa
Agent_0177,Interior,C2,45,Neutral,Neutral,Negativa
Agent_0178,GBA,D/E,61,Neutral,Negativa,Negativa
Agent_0179,Interior,D/E,75,Positiva,Neutral,Neutral
Agent_0180,GBA,D/E,71,Negativa,Negativa,Negativa
Agent_0181,Interior,ABC1,18,Negativa,Neutral,Negativa
Agent_0182,CABA,D/E,18,Negativa,Negativa,Negativa
Agent_0183,Interior,C3,21,Positiva,Negativa,Neutral
Agent_0184,Interior,C2,49,Neutral,Positiva,Positiva
Agent_0185,GBA,D/E,43,Negativa,Negativa,Neutral
Agent_0186,Interior,D/E,50,Negativa,Negativa,Positiva
Agent_0187,GBA,C3,28,Neutral,Negativa,Negativa
Agent_0188,CABA,ABC1,76,Positiva,Negativa,Positiva
Agent_0189,GBA,D/E,51,Negativa,Negativa,Negativa
Agent_0190,Interior,D/E,74,Negativa,Neutral,Negativa
Agent_0191,Interior,D/E,29,Positiva,Negativa,Negativa
Agent_0192,Interior,D/E,30,Negativa,Negativa,Negativa
Agent_0193,GBA,C3,31,Negativa,Neutral,Neutral
Agent_0194,GBA,ABC1,81,Negativa,Negativa,Neutral
Agent_0195,Interior,C3,22,Neutral,Neutral,Neutral
Agent_0196,GBA,D/E,28,Negativa,Negativa,Positiva
Agent_0197,GBA,D/E,28,Negativa,Negativa,Negativa
Agent_0198,CABA,ABC1,44,Neutral,Neutral,Negativa
Agent_0199,GBA,D/E,34,Negativa,Neutral,Negativa
Agent_0200,GBA,D/E,76,Negativa,Negativa,Neutral
Agent_0201,GBA,C2,41,Neutral,Neutral,Neutral
Agent_0202,CABA,C2,20,Positiva,Positiva,Positiva
Agent_0203,Interior,C3,84,Neutral,Neutral,Neutral
Agent_0204,GBA,C3,72,Negativa,Positiva,Positiva
Agent_0205,Interior,C3,20,Negativa,Negativa,Negativa
Agent_0206,Interior,D/E,57,Negativa,Negativa,Negativa
Agent_0207,Interior,ABC1,64,Negativa,Neutral,Positiva
Agent_0208,GBA,C2,83,Negativa,Negativa,Negativa
Agent_0209,Interior,D/E,56,Negativa,Negativa,Negativa
Agent_0210,Interior,D/E,39,Negativa,Negativa,Negativa
Agent_0211,Interior,C3,49,Positiva,Positiva,Negativa
Agent_0212,Interior,D/E,20,Positiva,Neutral,Positiva
Agent_0213,Interior,ABC1,20,Positiva,Negativa,Neutral
Agent_0214,Interior,D/E,72,Negativa,Negativa,Positiva
Agent_0215,Interior,C3,63,Negativa,Negativa,Negativa
Agent_0216,CABA,D/E,25,Negativa,Negativa,Negativa
Agent_0217,CABA,ABC1,65,Neutral,Neutral,Positiva
Agent_0218,GBA,D/E,38,Negativa,Neutral,Positiva
Agent_0219,Interior,ABC1,18,Positiva,Negativa,Positiva
Agent_0220,Interior,C2,48,Negativa,Neutral,Positiva
Agent_0221,Interior,ABC1,67,Neutral,Negativa,Positiva
Agent_0222,GBA,ABC1,27,Neutral,Negativa,Neutral
Agent_0223,Interior,D/E,61,Negativa,Negativa,Negativa
Agent_0224,GBA,C3,61,Positiva,Neutral,Neutral
Agent_0225,GBA,D/E,67,Negativa,Negativa,Positiva
Agent_0226,Interior,C3,50,Negativa,Neutral,Neutral
Agent_0227,Interior,D/E,61,Negativa,Positiva,Positiva
Agent_0228,CABA,C3,63,Neutral,Neutral,Positiva
Agent_0229,Interior,C2,62,Neutral,Negativa,Neutral
Agent_0230,CABA,ABC1,52,Positiva,Negativa,Positiva
Agent_0231,Interior,D/E,53,Positiva,Negativa,Negativa
Agent_0232,CABA,C3,21,Negativa,Negativa,Negativa
Agent_0233,Interior,D/E,39,Negativa,Negativa,Neutral
Agent_0234,Interior,C2,56,Positiva,Negativa,Positiva
Agent_0235,GBA,D/E,81,Negativa,Negativa,Negativa
Agent_0236,Interior,ABC1,43,Negativa,Neutral,Negativa
Agent_0237,CABA,D/E,32,Negativa,Neutral,Negativa
Agent_0238,Interior,D/E,39,Negativa,Neutral,Negativa
Agent_0239,GBA,ABC1,75,Positiva,Negativa,Neutral
Agent_0240,CABA,ABC1,36,Neutral,Negativa,Positiva
Agent_0241,GBA,C3,80,Positiva,Negativa,Neutral
Agent_0242,Interior,D/E,39,Neutral,Negativa,Negativa
Agent_0243,Interior,D/E,52,Positiva,Negativa,Negativa
Agent_0244,Interior,ABC1,21,Neutral,Negativa,Negativa
Agent_0245,CABA,C2,84,Neutral,Negativa,Negativa
Agent_0246,Interior,ABC1,59,Neutral,Neutral,Neutral
Agent_0247,Interior,C3,20,Negativa,Neutral,Negativa
Agent_0248,Interior,D/E,84,Negativa,Negativa,Negativa
Agent_0249,GBA,D/E,65,Negativa,Negativa,Negativa
Agent_0250,Interior,C3,54,Negativa,Negativa,Positiva
Agent_0251,GBA,D/E,80,Negativa,Negativa,Positiva
Agent_0252,GBA,D/E,22,Positiva,Negativa,Negativa
Agent_0253,CABA,C2,35,Neutral,Positiva,Positiva
Agent_0254,Interior,ABC1,31,Positiva,Neutral,Positiva
Agent_0255,CABA,D/E,82,Negativa,Neutral,Neutral
Agent_0256,Interior,ABC1,52,Positiva,Negativa,Positiva
Agent_0257,GBA,D/E,60,Neutral,Negativa,Negativa
Agent_0258,GBA,C3,25,Negativa,Neutral,Neutral
Agent_0259,Interior,C2,18,Positiva,Positiva,Positiva
Agent_0260,CABA,D/E,23,Positiva,Negativa,Neutral
Agent_0261,GBA,D/E,64,Neutral,Negativa,Negativa
Agent_0262,GBA,C2,42,Neutral,Positiva,Neutral
Agent_0263,Interior,ABC1,38,Neutral,Neutral,Neutral
Agent_0264,CABA,C2,54,Negativa,Neutral,Neutral
Agent_0265,CABA,C3,24,Negativa,Positiva,Positiva
Agent_0266,GBA,D/E,41,Negativa,Neutral,Negativa
Agent_0267,CABA,ABC1,23,Neutral,Negativa,Positiva
Agent_0268,GBA,D/E,36,Neutral,Neutral,Negativa
Agent_0269,GBA,C3,38,Neutral,Negativa,Negativa
Agent_0270,CABA,C2,31,Positiva,Neutral,Positiva
Agent_0271,GBA,C3,52,Neutral,Negativa,Neutral
Agent_0272,Interior,ABC1,20,Neutral,Negativa,Positiva
Agent_0273,Interior,C3,46,Negativa,Neutral,Positiva
Agent_0274,GBA,D/E,26,Positiva,Negativa,Negativa
Agent_0275,Interior,C3,32,Positiva,Negativa,Negativa
Agent_0276,Interior,ABC1,66,Negativa,Negativa,Negativa
Agent_0277,Interior,C2,52,Negativa,Neutral,Positiva
Agent_0278,Interior,ABC1,50,Positiva,Positiva,Positiva
Agent_0279,CABA,D/E,66,Neutral,Negativa,Negativa
Agent_0280,GBA,ABC1,82,Neutral,Positiva,Positiva
Agent_0281,Interior,ABC1,43,Positiva,Negativa,Positiva
Agent_0282,Interior,D/E,22,Neutral,Negativa,Negativa
Agent_0283,Interior,C3,44,Negativa,Negativa,Negativa
Agent_0284,CABA,C2,78,Neutral,Positiva,Negativa
Agent_0285,Interior,C3,63,Negativa,Negativa,Positiva
Agent_0286,GBA,C3,59,Neutral,Negativa,Neutral
Agent_0287,Interior,C2,40,Positiva,Negativa,Neutral
Agent_0288,Interior,C3,21,Neutral,Negativa,Neutral
Agent_0289,GBA,D/E,34,Neutral,Negativa,Positiva
Agent_0290,Interior,D/E,42,Negativa,Negativa,Negativa
Agent_0291,CABA,C3,23,Neutral,Neutral,Neutral
Agent_0292,Interior,D/E,19,Negativa,Negativa,Negativa
Agent_0293,GBA,ABC1,77,Neutral,Negativa,Negativa
Agent_0294,Interior,D/E,70,Negativa,Negativa,Negativa
Agent_0295,Interior,C3,73,Neutral,Negativa,Positiva
Agent_0296,GBA,D/E,67,Negativa,Negativa,Negativa
Agent_0297,Interior,D/E,79,Negativa,Negativa,Negativa
Agent_0298,Interior,C3,48,Neutral,Neutral,Neutral
Agent_0299,Interior,C2,80,Positiva,Negativa,Positiva
Agent_0300,Interior,C2,20,Neutral,Negativa,Positiva
Agent_0301,Interior,C3,30,Negativa,Negativa,Positiva
Agent_0302,GBA,D/E,42,Negativa,Negativa,Negativa
Agent_0303,CABA,C3,28,Negativa,Negativa,Negativa
Agent_0304,Interior,D/E,39,Negativa,Neutral,Negativa
Agent_0305,Interior,D/E,46,Negativa,Negativa,Negativa
Agent_0306,Interior,D/E,37,Negativa,Negativa,Negativa
Agent_0307,Interior,D/E,50,Negativa,Positiva,Negativa
Agent_0308,GBA,ABC1,45,Negativa,Negativa,Positiva
Agent_0309,Interior,C3,37,Neutral,Negativa,Positiva
Agent_0310,CABA,D/E,66,Negativa,Negativa,Neutral
Agent_0311,Interior,ABC1,57,Negativa,Positiva,Negativa
Agent_0312,Interior,C3,68,Positiva,Negativa,Negativa
Agent_0313,GBA,C3,42,Neutral,Negativa,Negativa
Agent_0314,GBA,D/E,62,Negativa,Negativa,Neutral
Agent_0315,Interior,ABC1,32,Negativa,Neutral,Negativa
Agent_0316,GBA,ABC1,52,Negativa,Neutral,Negativa
Agent_0317,GBA,C2,54,Neutral,Positiva,Neutral
Agent_0318,CABA,D/E,24,Negativa,Negativa,Negativa
Agent_0319,Interior,D/E,48,Negativa,Negativa,Negativa
Agent_0320,Interior,C3,85,Neutral,Positiva,Negativa
Agent_0321,Interior,C2,25,Neutral,Neutral,Negativa
Agent_0322,CABA,D/E,66,Neutral,Negativa,Negativa
Agent_0323,CABA,D/E,47,Negativa,Negativa,Neutral
Agent_0324,CABA,C3,19,Neutral,Negativa,Neutral
Agent_0325,Interior,D/E,64,Negativa,Negativa,Negativa
Agent_0326,GBA,C2,33,Positiva,Negativa,Positiva
Agent_0327,GBA,C3,57,Negativa,Negativa,Neutral
Agent_0328,Interior,D/E,38,Neutral,Negativa,Negativa
Agent_0329,CABA,D/E,75,Negativa,Neutral,Negativa
Agent_0330,GBA,D/E,46,Neutral,Neutral,Negativa
Agent_0331,GBA,D/E,43,Negativa,Negativa,Negativa
Agent_0332,GBA,ABC1,43,Negativa,Neutral,Neutral
Agent_0333,Interior,C2,18,Negativa,Neutral,Neutral
Agent_0334,GBA,C2,47,Negativa,Negativa,Positiva
Agent_0335,GBA,ABC1,46,Negativa,Negativa,Negativa
Agent_0336,Interior,C3,46,Positiva,Negativa,Neutral
Agent_0337,Interior,D/E,28,Negativa,Negativa,Negativa
Agent_0338,Interior,C2,20,Neutral,Positiva,Neutral
Agent_0339,Interior,D/E,59,Positiva,Negativa,Negativa
Agent_0340,GBA,D/E,67,Negativa,Negativa,Negativa
Agent_0341,Interior,C3,66,Neutral,Negativa,Positiva
Agent_0342,Interior,D/E,34,Negativa,Negativa,Positiva
Agent_0343,Interior,D/E,26,Neutral,Negativa,Negativa
Agent_0344,Interior,C3,37,Positiva,Positiva,Positiva
Agent_0345,GBA,C2,49,Neutral,Positiva,Negativa
Agent_0346,Interior,C3,18,Negativa,Negativa,Negativa
Agent_0347,Interior,D/E,38,Negativa,Negativa,Negativa
Agent_0348,Interior,C3,68,Neutral,Negativa,Negativa
Agent_0349,Interior,D/E,85,Negativa,Negativa,Positiva
Agent_0350,Interior,D/E,35,Negativa,Neutral,Neutral
Agent_0351,GBA,D/E,40,Negativa,Negativa,Negativa
Agent_0352,Interior,D/E,35,Negativa,Negativa,Negativa
Agent_0353,Interior,D/E,70,Negativa,Neutral,Negativa
Agent_0354,Interior,D/E,48,Negativa,Negativa,Neutral
Agent_0355,Interior,D/E,38,Neutral,Negativa,Negativa
Agent_0356,Interior,ABC1,27,Neutral,Positiva,Neutral
Agent_0357,GBA,C3,28,Neutral,Negativa,Positiva
Agent_0358,GBA,D/E,33,Positiva,Negativa,Negativa
Agent_0359,Interior,D/E,46,Neutral,Negativa,Negativa
Agent_0360,Interior,D/E,27,Neutral,Neutral,Negativa
Agent_0361,Interior,D/E,58,Neutral,Negativa,Negativa
Agent_0362,Interior,D/E,45,Negativa,Negativa,Negativa
Agent_0363,CABA,C3,81,Negativa,Negativa,Positiva
Agent_0364,GBA,D/E,61,Negativa,Negativa,Negativa
Agent_0365,Interior,C2,39,Negativa,Neutral,Negativa
Agent_0366,GBA,D/E,31,Negativa,Negativa,Negativa
Agent_0367,GBA,D/E,70,Negativa,Negativa,Negativa
Agent_0368,Interior,ABC1,22,Positiva,Positiva,Negativa
Agent_0369,Interior,ABC1,49,Positiva,Neutral,Neutral
Agent_0370,Interior,ABC1,85,Positiva,Negativa,Neutral
Agent_0371,Interior,D/E,81,Neutral,Negativa,Neutral
Agent_0372,Interior,D/E,64,Negativa,Negativa,Negativa
Agent_0373,Interior,ABC1,57,Positiva,Neutral,Positiva
Agent_0374,Interior,C3,26,Negativa,Neutral,Positiva
Agent_0375,Interior,C2,24,Negativa,Negativa,Positiva
Agent_0376,Interior,D/E,71,Neutral,Negativa,Neutral
Agent_0377,GBA,D/E,35,Negativa,Negativa,Negativa
Agent_0378,GBA,C2,61,Neutral,Negativa,Negativa
Agent_0379,GBA,C2,58,Positiva,Negativa,Neutral
Agent_0380,Interior,D/E,62,Negativa,Negativa,Negativa
Agent_0381,GBA,ABC1,34,Neutral,Positiva,Negativa
Agent_0382,Interior,ABC1,57,Positiva,Positiva,Negativa
Agent_0383,Interior,D/E,59,Negativa,Negativa,Negativa
Agent_0384,Interior,C3,44,Positiva,Positiva,Positiva
Agent_0385,GBA,D/E,45,Neutral,Negativa,Negativa
Agent_0386,CABA,D/E,21,Negativa,Negativa,Positiva
Agent_0387,CABA,ABC1,74,Neutral,Negativa,Negativa
Agent_0388,Interior,C3,38,Negativa,Positiva,Positiva
Agent_0389,GBA,D/E,31,Positiva,Negativa,Negativa
Agent_0390,Interior,D/E,83,Negativa,Negativa,Neutral
Agent_0391,Interior,D/E,50,Negativa,Negativa,Neutral
Agent_0392,GBA,D/E,25,Negativa,Negativa,Neutral
Agent_0393,Interior,D/E,55,Positiva,Negativa,Neutral
Agent_0394,Interior,D/E,27,Negativa,Neutral,Negativa
Agent_0395,Interior,C3,35,Negativa,Negativa,Neutral
Agent_0396,GBA,ABC1,78,Negativa,Negativa,Positiva
Agent_0397,Interior,D/E,52,Negativa,Neutral,Positiva
Agent_0398,GBA,D/E,28,Negativa,Neutral,Negativa
Agent_0399,GBA,D/E,36,Negativa,Negativa,Negativa
Agent_0400,CABA,C2,36,Positiva,Positiva,Negativa
Agent_0401,Interior,C3,85,Positiva,Neutral,Positiva
Agent_0402,GBA,D/E,83,Negativa,Negativa,Negativa
Agent_0403,Interior,D/E,31,Negativa,Negativa,Positiva
Agent_0404,Interior,D/E,41,Negativa,Neutral,Negativa
Agent_0405,CABA,D/E,52,Negativa,Neutral,Negativa
Agent_0406,Interior,D/E,25,Negativa,Negativa,Negativa
Agent_0407,Interior,C2,40,Positiva,Neutral,Positiva
Agent_0408,GBA,D/E,77,Negativa,Negativa,Positiva
Agent_0409,GBA,D/E,49,Negativa,Negativa,Negativa
Agent_0410,CABA,D/E,26,Positiva,Negativa,Positiva
Agent_0411,GBA,D/E,41,Negativa,Negativa,Negativa
Agent_0412,CABA,ABC1,84,Negativa,Negativa,Positiva
Agent_0413,Interior,D/E,31,Neutral,Neutral,Negativa
Agent_0414,GBA,D/E,66,Negativa,Negativa,Negativa
Agent_0415,CABA,D/E,42,Negativa,Negativa,Negativa
Agent_0416,Interior,D/E,61,Neutral,Positiva,Negativa
Agent_0417,Interior,C2,52,Neutral,Neutral,Negativa
Agent_0418,CABA,C3,28,Negativa,Negativa,Neutral
Agent_0419,Interior,C3,47,Neutral,Negativa,Negativa
Agent_0420,GBA,C3,55,Negativa,Negativa,Neutral
Agent_0421,GBA,C2,48,Neutral,Negativa,Neutral
Agent_0422,GBA,ABC1,33,Positiva,Negativa,Positiva
Agent_0423,Interior,ABC1,38,Negativa,Positiva,Neutral
Agent_0424,Interior,ABC1,45,Neutral,Negativa,Negativa
Agent_0425,Interior,D/E,23,Negativa,Neutral,Positiva
Agent_0426,Interior,D/E,39,Negativa,Negativa,Positiva
Agent_0427,Interior,C2,39,Positiva,Negativa,Neutral
Agent_0428,GBA,D/E,47,Negativa,Negativa,Neutral
Agent_0429,Interior,C3,32,Positiva,Negativa,Positiva
Agent_0430,Interior,C3,55,Positiva,Negativa,Positiva
Agent_0431,Interior,D/E,30,Negativa,Neutral,Positiva
Agent_0432,CABA,ABC1,41,Negativa,Negativa,Neutral
Agent_0433,Interior,C3,39,Positiva,Neutral,Neutral
Agent_0434,Interior,C2,43,Negativa,Neutral,Negativa
Agent_0435,CABA,C3,58,Positiva,Negativa,Negativa
Agent_0436,Interior,C2,38,Negativa,Positiva,Positiva
Agent_0437,Interior,D/E,76,Negativa,Negativa,Negativa
